Player,Position,Detailed position,Number,Birth date,Age,Caps,Weight (KG),Height (cm),Birth place,National team,Continent / Region,Team,Country of current team,Continent of current team / Region,Won the World Cup?,How many times played the World Cup? (including this one),Has ever won Champions League?,Previous teams?
Celso Borges,Midfielder,,,27/05/1988,34,154,,187,Costa Rica,Costa Rica,Central America,Alajuelense,Costa Rica,Central America,0,,,
Anthony Hernandez,Midfielder,,11,11/10/2001,21,2,,179,Costa Rica,Costa Rica,Central America,Puntarenas,Costa Rica,Central America,0,,,
Douglas Lopez,Midfielder,,,21/09/1998,24,2,,180,Costa Rica,Costa Rica,Central America,Herediano,Costa Rica,Central America,0,,,
Bryan Ruiz,Midfielder,,10,18/08/1985,37,144,,187,Costa Rica,Costa Rica,Central America,Alajuelense,Costa Rica,Central America,0,,,
Youstin Salas,Midfielder,,22,17/06/1996,26,3,,173,Costa Rica,Costa Rica,Central America,Saprissa,Costa Rica,Central America,0,,,
Yeltsin Tejeda,Midfielder,,10,17/03/1992,30,73,,179,Costa Rica,Costa Rica,Central America,Herediano,Costa Rica,Central America,0,,,
Gerson Torres,Midfielder,,,28/08/1997,25,12,,180,Costa Rica,Costa Rica,Central America,Herediano,Costa Rica,Central America,0,,,
Roan Wilson,Midfielder,,,01/05/2002,20,2,,180,Costa Rica,Costa Rica,Central America,Grecia,Costa Rica,Central America,0,,,
Alvaro Zamora,Midfielder,,,09/03/2002,20,2,,183,Costa Rica,Costa Rica,Central America,Saprissa,Costa Rica,Central America,0,,,
Joel Campbell,Forward,,,26/06/1992,30,118,,178,Costa Rica,Costa Rica,Central America,Club Leon,Mexico,North America,0,,,
Anthony Contreras,Forward,,,29/01/2000,22,8,,180,,Costa Rica,Central America,Herediano,Costa Rica,Central America,0,,,
Johan Venegas,Forward,,,27/11/1988,33,81,,182,,Costa Rica,Central America,Alajuelense,Costa Rica,Central America,0,,,
Luis Fernando Suárez,Coach,,,23/12/1959,62,,,176,Colombia,Costa Rica,Central America,,,,0,3,,
Alphonse Areola,Goalkeeper,,,27/02/1993,29,5,,,France,France,Europe,West Ham,England,Europe,,,,
Hugo Lloris,Goalkeeper,,,26/12/1986,35,139,,,France,France,Europe,Tottenham,England,Europe,,,,
Steve Mandanda,Goalkeeper,,,28/03/1985,37,34,,,Zaire,France,Europe,Rennes,France,Europe,,,,
Lucas Hernandez,Defender,,,14/02/1996,26,32,,,France,France,Europe,Bayern Munich,France,Europe,,,,
Theo Hernandez,Defender,,,06/10/1997,25,7,,,France,France,Europe,AC Milan,Italy,Europe,,,,
Presnel Kimpembe,Defender,,,13/08/1995,28,28,,,France,France,Europe,PSG,France,Europe,,,,
Ibrahima Konate,Defender,,,25/05/1999,23,2,,,France,France,Europe,Liverpool,England,Europe,,,,
Jules Kounde,Defender,,,12/11/1998,23,12,,,France,France,Europe,Barcelona,Spain,Europe,,,,
Benjamin Pavard,Defender,,,23/03/1996,26,46,,,France,France,Europe,Bayern Munich,Germany,Europe,,,,
William Saliba,Defender,,,24/03/2001,21,7,,,France,France,Europe,Arsenal,England,Europe,,,,
Dayot Upamecano,Defender,,,27/10/1998,23,7,,,France,France,Europe,Bayern Munich,Germany,Europe,,,,
Raphael Varane,Defender,,,25/04/19993,29,87,,,France,France,Europe,Manchester United,England,Europe,,,,
Eduardo Camavinga,Midfielder,,,10/11/2002,19,4,,,Cabinda,France,Europe,Real Madrid,Spain,Europe,,,,
Youssouf Fofana,Midfielder,,,10/01/1999,23,2,,,France,France,Europe,AS Monaco,France,Europe,,,,
Matteo Guendouzi,Midfielder,,,14/04/1999,23,6,,,France,France,Europe,Marseille,France,Europe,,,,
Adrien Rabiot,Midfielder,,,03/04/1995,27,29,,,France,France,Europe,Juventus,Italy,Europe,,,,
Aurelien Tchouameni,Midfielder,,,27/01/2000,22,14,,,France,France,Europe,Real Madrid,Spain,Europe,,,,
Jordan Veretout,Midfielder,,,01/03/1993,29,5,,,France,France,Europe,Marseille,France,Europe,,,,
Karim Benzema,Forward,,,19/12/1987,34,97,,,France,France,Europe,Real Madrid,France,Europe,,,,
Ousmane Dembele,Forward,,,15/05/1997,25,28,,,France,France,Europe,Barcelona,France,Europe,,,,
Kingsley Coman,Forward,,,13/06/1996,26,40,,,France,France,Europe,Bayern Munich,Germany,Europe,,,,
Olivier Giroud,Forward,,,30/09/1986,36,114,,,France,France,Europe,AC Milan,Italy,Europe,,,,
Antoine Griezmann,Forward,,,21/03/1991,31,110,,,France,France,Europe,Atletico Madrid,Spain,Europe,,,,
Kylian Mbappe,Forward,,,20/12/1998,23,59,,,France,France,Europe,PSG,France,Europe,,,,
Christopher Nkunku,Forward,,,14/11/1997,24,8,,,France,France,Europe,RB Leipzig,Germany,Europe,,,,
Didier Deschamps,Coach,,,15/10/1968,54,,,174,France,France,Europe,,,,2,,,
Maty Ryan,Goalkeeper,,,08/04/1992,30,75,,,Australia,Australia,Oceania,FC Copenhagen,Denmark,Europe,,,,
Andrew Redmayne,Goalkeeper,,,13/01/1989,33,3,,,Australia,Australia,Oceania,Sydney FC,Australia,Oceania,,,,
Danny Vukovic,Goalkeeper,,,27/03/1985,37,4,,,Australia,Australia,Oceania,Central Coast Mariners,Australia,Oceania,,,,
Milos Degenek,Defender,,,28/04/1994,28,38,,,Croatia,Australia,Oceania,Columbus Crew,USA,North America,,,,
Aziz Behich,Defender,,,16/10/1990,31,53,,,Australia,Australia,Oceania,Dundee United,Scotland,Europe,,,,
Joel King,Defender,,,30/10/2000,21,3,,,Australia,Australia,Oceania,OB,Denmark,Europe,,,,
Nathaniel Atkinson,Defender,,,13/06/1999,23,5,,,Australia,Australia,Oceania,Hearts,Scotland,Europe,,,,
Fran Karacic,Defender,,,12/05/1996,26,10,,,Croatia,Australia,Oceania,Brescia,Italy,Europe,,,,
Harry Souttar,Defender,,,22/10/1998,23,10,,,Scotland,Australia,Oceania,Stoke City,England,Europe,,,,
Kye Rowles,Defender,,,24/06/1998,24,3,,,Australia,Australia,Oceania,Hearts,Scotland,Europe,,,,
Bailey Wright,Defender,,,28/07/1992,30,27,,,Australia,Australia,Oceania,Sunderland,England,Europe,,,,
Thomas Deng,Defender,,,20/03/1997,25,2,,,Kenya,Australia,Oceania,Albirex Niigata,Japan,Europe,,,,
Aaron Mooy,Midfielder,,,15/09/1990,32,53,,,Australia,Australia,Oceania,Celtic,Scotland,Europe,,,,
Jackson Irvine,Midfielder,,,07/03/1993,29,49,,,Australia,Australia,Oceania,St Pauli,Germany,Europe,,,,
Ajdin Hrustic,Midfielder,,,06/07/1996,26,20,,,Australia,Australia,Oceania,Hellas Verona,Italy,Europe,,,,
Keanu Baccus,Midfielder,,,07/06/1998,29,53,,178,South Africa,Australia,Oceania,St Mirren,Scotland,Europe,,,,
Cameron Devlin,Midfielder,,,07/06/1998,24,1,,170,Australia,Australia,Oceania,Hearts,Scotland,Europe,,,,
Riley McGree,Midfielder,,,02/11/1998,23,10,,,Australia,Australia,Oceania,Middlesbrough,England,Europe,,,,
Awer Mabil,Forward,,,15/09/1995,27,29,,,Kenya,Australia,Oceania,Cadiz,Spain,Europe,,,,
Mathew Leckie,Forward,,,04/02/1991,31,72,,,Australia,Australia,Oceania,Melbourne City,Australia,Oceania,,,,
Martin Boyle,Forward,,,25/04/1993,29,19,,,Scotland,Australia,Oceania,Hibernian,Scotland,Europe,,,,
Jamie Maclaren,Forward,,,29/07/1993,29,26,,,Australia,Australia,Oceania,Melbourne City,Australia,Oceania,,,,
Jason Cummings,Forward,,,01/08/1995,27,1,,,Scotland,Australia,Oceania,Central Coast Mariners,Australia,Oceania,,,,
Mitchell Duke,Forward,,,18/01/1991,31,20,,,Australia,Australia,Oceania,Fagiano Okayama,Japan,Asia,,,,
Garang Kuol,Forward,,,15/09/2004,18,1,,,Egypt,Australia,Oceania,Central Coast Mariners,Australia,Oceania,,,,
Craig Goodwin,Forward,,,16/12/1991,30,10,,180,Australia,Australia,Oceania,Adelaide United,Australia,Oceania,,,,
Graham Arnold,Coach,,,03/08/1963,59,,,179,Australia,Australia,Oceania,,,,,,,
Manuel Neuer,Goalkeeper,,1,27/03/1986,36,113,,,,Germany,Europe,Bayern Munich,Germany,Europe,1,,,
Marc-Andre ter Stegen,Goalkeeper,,,30/04/1992,30,30,,,,Germany,Europe,Barcelona,Spain,Europe,,,,
Kevin Trapp,Goalkeeper,,,08/07/1990,32,6,,,,Germany,Europe,Eintracht Frankfurt,Germany,Europe,,,,
Armel Bella-Kotchap,Defender,,,11/11/2001,20,1,,,,Germany,Europe,Southampton,England,Europe,,,,
Mattias Ginter,Defender,,,19/01/1994,28,46,,,,Germany,Europe,SC Freiburg,Germany,Europe,,,,
Christian Gunter,Defender,,,28/02/1993,29,6,,,,Germany,Europe,Freiburg,Germany,Europe,,,,
Thilo Kehrer,Defender,,,21/09/1996,26,22,,,,Germany,Europe,West Ham,England,Europe,,,,
Lukas Klostermann,Defender,,,03/06/1996,26,18,,,,Germany,Europe,RB Leipzig,Germany,Europe,,,,
David Raum,Defender,,,22/04/1998,24,11,,,,Germany,Europe,RB Leipzig,Germany,Europe,,,,
Antonio Rudiger,Defender,,,22/04/1998,29,54,,,,Germany,Europe,Real Madrid,Spain,Europe,,,,
Nico Schlotterbeck,Defender,,,01/11/1999,22,5,,,,Germany,Europe,Borussia Dortmund,Germany,Europe,,,,
Niklas Sule,Defender,,,03/09/1995,27,42,,,,Germany,Europe,Borussia Dortmund,Germany,Europe,,,,
Julian Brandt,Midfielder,,,02/05/1996,26,38,,,,Germany,Europe,Borussia Dortmund,Germany,Europe,,,,
Leon Goretzka,Midfielder,,,06/02/1995,44,14,,,,Germany,Europe,Bayern Munich,Germany,Europe,,,,
Ilkay Gundogan,Midfielder,,,24/10/1990,31,62,,,,Germany,Europe,Manchester City,England,Europe,,,,
Mario Gotze,Midfielder,,,03/06/1992,30,63,,,,Germany,Europe,Eintracht Frankfurt,Germany,Europe,1,,,
Jonas Hofmann,Midfielder,,,14/07/1992,30,16,,,,Germany,Europe,B. Monchengladbach,Germany,Europe,,,,
Joshua Kimmich,Midfielder,,,08/02/1995,27,70,,,,Germany,Europe,Bayern Munich,Germany,Europe,1,,,
Jamal Musiala,Midfielder,,,26/02/2003,19,17,,,,Germany,Europe,Bayern Munich,Germany,Europe,,,,
Youssoufa Moukoko,Forward,,,20/11/2004,17,0,,,,Germany,Europe,Borussia Dortmund,Germany,Europe,,,,
Karim Adeyemi,Forward,,,18/01/2002,20,4,,,,Germany,Europe,Borussia Dortmund,Germany,Europe,,,,
Niclas Fullkrug,Forward,,,09/02/1993,29,0,,,,Germany,Europe,Werder Bremen,Germany,Europe,,,,
Serge Gnabry,Forward,,,14/07/1995,27,36,,,,Germany,Europe,Bayern Munich,Germany,Europe,,,,
Kai Havertz,Forward,,,11/06/1999,23,30,,,,Germany,Europe,Chelsea,England,Europe,,,,
Thomas Muller,Forward,,,13/09/1989,33,118,,,,Germany,Europe,Bayern Munich,Germany,Europe,1,,,
Leroy Sane,Forward,,,11/01/1996,26,47,,,,Germany,Europe,Bayern Munich,Germany,Europe,,,,
Hansi Flick,Coach,,,24/02/1965,57,,,177,Germany,Germany,Europe,,,,1,,,
Wojciech Szczesny,Goalkeeper,,,18/04/1990,32,66,,,,Poland,Europe,Juventus,Italy,Europe,,,,
Bartlomiej Dragowski,Goalkeeper,,,19/08/1997,25,2,,,,Poland,Europe,Spezia,Italy,Europe,,,,
Lukasz Skorupski,Goalkeeper,,,05/05/1991,31,7,,,,Poland,Europe,Bologna,Italy,Europe,,,,
Jan Bednarek,Defender,,,12/04/1996,26,44,,,,Poland,Europe,Aston Villa,England,Europe,,,,
Kamil Glik,Defender,,,08/07/1988,34,98,,,,Poland,Europe,Benevento,Italy,Europe,,,,
Matty Cash,Defender,,,07/08/1997,25,7,,,,Poland,Europe,Aston Villa,England,Europe,,,,
Jakub Kiwior,Defender,,,15/02/2000,22,2,,,,Poland,Europe,Spezia,Italy,Europe,,,,
Robert Gumny,Defender,,,04/06/1998,24,4,,,,Poland,Europe,FC Augsburg,Germany,Europe,,,,
Bartosz Bereszynski,Defender,,,12/07/1992,30,45,,,,Poland,Europe,Sampdoria,Italy,Europe,,,,
Mateusz Wieteska,Defender,,,11/02/1997,25,1,,,,Poland,Europe,Clermont,France,Europe,,,,
Nicola Zalewski,Defender,,,23/01/2002,20,7,,,,Poland,Europe,Roma,Italy,Europe,,,,
Artur Jedrzejczyk,Defender,,,04/11/1987,34,40,,,,Poland,Europe,Legia Warsaw,Poland,Europe,,,,
Michal Skoras,Midfielder,,,15/02/2000,22,1,,,,Poland,Europe,Lech Poznan,Poland,Europe,,,,
Grzegorz Krychowiak,Midfielder,,,29/01/1990,32,93,,,,Poland,Europe,Al Shabab,Saudi Arabia,Middle East,,,,
Piotr Zielinski,Midfielder,,,20/05/1994,28,74,,,,Poland,Europe,Napoli,Italy,Europe,,,,
Krystian Bielik,Midfielder,,,04/01/1998,24,5,,,,Poland,Europe,Birmingham,England,Europe,,,,
Kamil Grosicki,Midfielder,,,08/06/1988,34,86,,,,Poland,Europe,Pogon Szczecin,Poland,Europe,,,,
Przemyslaw Frankowski,Midfielder,,,12/04/1995,27,25,,,,Poland,Europe,Lens,France,Europe,,,,
Sebastian Szymanski,Midfielder,,,10/05/1999,23,17,,,,Poland,Europe,Feyenoord,Netherlands,Europe,,,,
Damian Szymanski,Midfielder,,,16/06/1995,27,8,,,,Poland,Europe,AEK Athens,Greece,Europe,,,,
Szymon Zurkowski,Midfielder,,,25/09/1997,25,6,,,,Poland,Europe,Fiorentina,Italy,Europe,,,,
Jakub Kaminski,Midfielder,,,05/06/2002,20,3,,,,Poland,Europe,Wolfsburg,Germany,Europe,,,,
Krzysztof Piatek,Forward,,,01/07/1995,27,10,,,,Poland,Europe,Salernitana,Italy,Europe,,,,
Karol Swiderski,Forward,,,23/01/1997,25,17,,,,Poland,Europe,Charlotte,USA,North America,,,,
Arkadiusz Milik,Forward,,,28/02/1994,28,63,,,,Poland,Europe,Juventus,Italy,Europe,,,,
Robert Lewandowski,Forward,,,21/08/1988,34,134,,,,Poland,Europe,Barcelona,Spain,Europe,,,,
Czesław Michniewicz,Coach,,,12/02/1970,52,,,188,Belarus,Poland,Europe,,,,,,,
Wayne Hennessey,Goalkeeper,,,24/01/1987,35,106,,,Wales,Wales,Europe,Nottingham Forest,England,Europe,,,,
Danny Ward,Goalkeeper,,,22/06/1993,29,26,,,Wales,Wales,Europe,Leicester City,England,Europe,,,,
Adam Davies,Goalkeeper,,,17/07/1992,30,3,,,Germany,Wales,Europe,Sheffield United,England,Europe,,,,
Ethan Ampadu,Defender,,,14/09/2000,22,37,,,England,Wales,Europe,Spezia,Italy,Europe,,,,
Chris Mepham,Defender,,,05/11/2000,24,33,,,England,Wales,Europe,Bournemouth,England,Europe,,,,
Ben Davies,Defender,,,24/04/1993,29,74,,,Wales,Wales,Europe,Tottenham,Scotland,Europe,,,,
Chris Gunter,Defender,,,21/07/1989,33,109,,,Wales,Wales,Europe,Wimbledon,England,Europe,,,,
Connor Roberts,Defender,,,23/09/1995,27,41,,,Wales,Wales,Europe,Burnley,England,Europe,,,,
Joe Rodon,Defender,,,22/10/1997,24,30,,,Wales,Wales,Europe,Rennes,France,Europe,,,,
Neco Williams,Defender,,,13/04/2001,21,23,,,Wales,Wales,Europe,Nottingham Forest,England,Europe,,,,
Ben Cabango,Defender,,,30/05/2000,22,5,,,Wales,Wales,Europe,Swansea City,Wales,Europe,,,,
Tom Lockyer,Defender,,,03/12/1994,27,14,,,Wales,Wales,Europe,Luton Town,England,Europe,,,,
Joe Allen,Midfielder,,,14/03/1990,32,72,,,Wales,Wales,Europe,Swansea City,Wales,Europe,,,,
Aaron Ramsey,Midfielder,,,26/12/1990,31,75,,,Wales,Wales,Europe,Nice,France,Europe,,,,
Harry Wilson,Midfielder,,,22/03/1997,25,39,,,Wales,Wales,Europe,Fulham,England,Europe,,,,
Jonny Williams,Midfielder,,,09/10/1993,29,33,,,England,Wales,Europe,Swindon Town,England,Europe,,,,
Joe Morrell,Midfielder,,,03/01/1997,25,30,,,England,Wales,Europe,Portsmouth,England,Europe,,,,
Matthew Smith,Midfielder,,,22/11/1999,22,19,,,England,Wales,Europe,MK Dons,England,Europe,,,,
Dylan Levitt,Midfielder,,,17/11/2000,21,13,,,Wales,Wales,Europe,Dundee United,Scotland,Europe,,,,
Ruben Colwill,Midfielder,,,27/04/2002,20,7,,,Wales,Wales,Europe,Swansea City,England,Europe,,,,
